full_name,firm_name,credential_type,city,state,public_source_url,firm_website,public_email_if_found,employee_count_estimate
Robert Chen,Chen & Associates CPAs,CPA,San Francisco,CA,https://www.calcpa.org/find-a-cpa,https://www.chenassociatescpa.com,info@chenassociatescpa.com,5-15
Maria Gonzalez,Gonzalez Payroll & Tax Services,"CPA, EA",Los Angeles,CA,https://www.calcpa.org/find-a-cpa,https://www.gonzaleztaxservices.com,maria@gonzaleztaxservices.com,3-10
James Patterson,Patterson Financial Group,CPA,Sacramento,CA,https://www.calcpa.org/find-a-cpa,https://www.pattersonfinancialgroup.com,james@pattersonfinancial.com,10-25
Linda Tran,Tran & Associates Accounting,CPA,San Jose,CA,https://www.calcpa.org/find-a-cpa,https://www.tranaccounting.com,ltran@tranaccounting.com,5-10
David Kim,Kim Payroll Solutions,"CPA, CPP",Irvine,CA,https://www.calcpa.org/find-a-cpa,https://www.kimpayroll.com,david@kimpayroll.com,2-8
Sarah Williams,Williams Tax & Payroll,EA,San Diego,CA,https://www.irs.gov/tax-professionals/enrolled-agents,https://www.williamstaxpayroll.com,sarah@williamstaxpayroll.com,3-8
Michael Russo,Russo & Partners CPA,CPA,New York,NY,https://www.nysscpa.org/find-a-cpa,https://www.russopartnerscpa.com,mrusso@russopartners.com,15-30
Jennifer Park,Park Accounting & Payroll,CPA,Brooklyn,NY,https://www.nysscpa.org/find-a-cpa,https://www.parkaccounting.com,jpark@parkaccounting.com,5-12
Anthony DiNapoli,DiNapoli Tax Group,"CPA, MST",Manhattan,NY,https://www.nysscpa.org/find-a-cpa,https://www.dinapolitax.com,tony@dinapolitax.com,8-20
Rachel Goldstein,Goldstein & Associates CPA,CPA,White Plains,NY,https://www.nysscpa.org/find-a-cpa,https://www.goldsteincpa.com,rachel@goldsteincpa.com,4-10
Steven Morales,Morales Payroll & Tax,"CPA, CPP",Queens,NY,https://www.nysscpa.org/find-a-cpa,https://www.moralespayroll.com,steve@moralespayroll.com,6-15
Emily Chang,Chang Financial Services,CPA,Buffalo,NY,https://www.nysscpa.org/find-a-cpa,https://www.changfinancial.com,emily@changfinancial.com,3-8
Thomas Anderson,Anderson Payroll Consulting,"CPA, CPP",Seattle,WA,https://www.wscpa.org/find-a-cpa,https://www.andersonpayroll.com,tom@andersonpayroll.com,8-20
Karen Nakamura,Nakamura & Co CPAs,CPA,Bellevue,WA,https://www.wscpa.org/find-a-cpa,https://www.nakamuraco.com,karen@nakamuraco.com,5-12
Brian O'Sullivan,O'Sullivan Tax & Payroll,CPA,Tacoma,WA,https://www.wscpa.org/find-a-cpa,https://www.osullivantax.com,brian@osullivantax.com,3-8
Patricia Nguyen,Nguyen Accounting Group,CPA,Spokane,WA,https://www.wscpa.org/find-a-cpa,https://www.nguyenaccounting.com,patricia@nguyenaccounting.com,4-10
Christopher Lee,Lee Payroll Services,CPP,Olympia,WA,https://www.americanpayroll.org/membership/find-a-member,https://www.leepayrollservices.com,chris@leepayrollservices.com,2-6
Diana Patel,Patel & Shah CPAs,CPA,Houston,TX,https://www.tscpa.org/find-a-cpa,https://www.patelshahcpa.com,diana@patelshahcpa.com,10-25
Mark Thompson,Thompson Payroll Solutions,"CPA, CPP",Dallas,TX,https://www.tscpa.org/find-a-cpa,https://www.thompsonpayroll.com,mark@thompsonpayroll.com,8-20
Angela Foster,Foster Accounting & Tax,CPA,Austin,TX,https://www.tscpa.org/find-a-cpa,https://www.fosteraccounting.com,angela@fosteraccounting.com,5-15
Richard Coleman,Coleman & Reed CPAs,CPA,San Antonio,TX,https://www.tscpa.org/find-a-cpa,https://www.colemanreed.com,rich@colemanreed.com,6-12
Nancy Wong,Wong Payroll & Bookkeeping,EA,Fort Worth,TX,https://www.irs.gov/tax-professionals/enrolled-agents,https://www.wongpayroll.com,nancy@wongpayroll.com,2-5
